query_en,query_zh,has_ai_overview,all_items,cited_sources,all_references,related_searches
hypertension blood pressure,高血压,True,"['\u200c诊断数值\u200c：在未使用降压药的情况下，非同日 3 次测量血压，\u200c收缩压≥130mmHg 和/或舒张压≥80mmHg\u200c即可诊断，传统标准也有参考收缩压≥140mmHg 或舒张压≥90mmHg 的情况 。\u200c\u200c1百科\u200c', '\u200c分级情况\u200c：', '\u200c常见信号\u200c：大多数患者没有明显症状，部分人可能出现\u200c头痛、头晕、心悸、耳鸣、颈项发紧\u200c，严重时会有视物模糊或胸痛 。\u200c\u200c1百科\u200c', '\u200c推荐多吃\u200c：', '\u200c需要忌口\u200c：', '\u200c药物选择\u200c：常用降压药包括\u200c钙拮抗剂、血管紧张素转化酶抑制剂、血管紧张素受体拮抗剂、利尿剂和β受体阻滞剂\u200c五大类，医生会根据是否合并糖尿病、心脏病等情况个体化选药，\u200c需终生服用，不可随意停药\u200c。\u200c\u200c1百科\u200c', '\u200c运动建议\u200c：', '\u200c紧急情况\u200c：若出现\u200c收缩压≥220mmHg 或舒张压≥110mmHg\u200c，或运动中胸痛、头晕、恶心、面色苍白，须立即停止并就医 。\u200c\u200c1百科']","[{'title': '高血压', 'link': 'https://baike.baidu.com/item/高血压/195863', 'source': '百度百科'}]","[{'title': '高血压', 'link': 'https://baike.baidu.com/item/高血压/195863', 'source': '百度百科'}, {'title': '高血压的症状及危害', 'link': 'https://www.bohe.cn/article/view/597rmfmh0k7rvul.html', 'source': '博禾医生'}, {'title': '高血压的概念', 'link': 'https://www.mfk.com/article/3594520.shtml', 'source': '童嘉毅'}, {'title': '最新高血压分级准2024标准是多少', 'link': 'https://www.mfk.com/article/9996211.shtml', 'source': '民福康'}, {'title': '高血压吃什么好得快', 'link': 'https://www.bohe.cn/article/view/113717.html', 'source': '博禾医生'}, {'title': '血压高吃什么好', 'link': 'https://www.youlai.cn/ask/CCDE04gaqSg.html', 'source': '有来医生'}, {'title': '高血压吃什么可以降血压', 'link': 'https://www.youlai.cn/ask/DC30FDmqJSq.html', 'source': '杨伟'}, {'title': '高血压平时多吃什么', 'link': 'https://www.youlai.cn/video/article/C0CB43UqP8.html', 'source': '袁国强'}, {'title': '高血压吃什么降血压', 'link': 'https://www.youlai.cn/ask/533581.html', 'source': '张宁'}, {'title': '高血压患者到底能不能运动?做哪些运动更好?医生提醒', 'link': 'https://baijiahao.baidu.com/s?id=1865332667337954274&wfr=spider&for=pc', 'source': '环球网'}]","['高血压160/110危险吗', '高血压怎么引起的原因', '60至70岁血压一览表', '高血压三吃三不吃', '高血压吃什么', '高血压的治疗方法', '70-80岁最佳血压', '高血压喝什么茶最好最有效', '血压正常范围是多少', '低压高是什么原因,怎么解决']"
blood pressure,血压,False,,,,"['血压正常范围表', '血压正常的标准是多少', '50至60岁正常血压', '60至70岁血压一览表', '血压的标准值', '70-80岁最佳血压', '正常血压值参照表', '低压高是什么原因,怎么解决', '血压高吃什么好', '三个水果最降血压']"
pulmonary hypertension,肺动脉高压,True,"['\u200c诊断标准\u200c：传统标准认为静息时肺动脉平均压≥25mmHg 可确诊，2022 年国际新指南建议≥20mmHg 即需警惕。', '\u200c疾病分型\u200c：分为特发性（原因不明）、遗传性、左心疾病引起、肺部疾病引起及慢性血栓栓塞等五类。', '\u200c风险人群\u200c：先天性心脏病、结缔组织病、长期高海拔居住、服用特定减肥药或有家族史者风险更高。\u200c\u200c1百科\u200c', '\u200c早期表现\u200c：活动后胸闷、气促、易疲劳，常被误认为缺乏锻炼。', '\u200c加重症状\u200c：随病情发展可能出现胸部疼痛、晕厥、下肢水肿、嘴唇发紫等右心衰竭体征。', '\u200c特殊群体\u200c：儿童患者可能表现为生长发育迟缓，孕妇症状可能在特殊时期加重。\u200c\u200c1百科\u200c', '\u200c确诊金标准\u200c：右心导管检查可直接测量肺动脉压力，是确诊的最准确方法。', '\u200c筛查手段\u200c：超声心动图可估测压力，胸部 CT 和血液检查有助于排查病因。', '\u200c治疗方向\u200c：包括靶向药物降压、氧疗、抗凝治疗，部分患者需进行手术或介入治疗。', '\u200c日常管理\u200c：避免剧烈运动和感染，保持低盐饮食，严格遵医嘱用药并定期随访。\u200c\u200c\u200c']","[{'title': '肺动脉高压', 'link': 'https://baike.baidu.com/item/肺动脉高压/7862961', 'source': '百度百科'}]","[{'title': '肺动脉高压', 'link': 'https://baike.baidu.com/item/肺动脉高压/7862961', 'source': '百度百科'}, {'title': '活动后胸闷、气促症状明显?这种技术为肺动脉高压患者打开呼吸之门', 'link': 'https://baijiahao.baidu.com/s?id=1865612953136281458&wfr=spider&for=pc', 'source': '红网'}, {'title': '肺动脉高压诊断标准', 'link': 'https://www.mfk.com/article/7989817.shtml', 'source': '民福康'}, {'title': '肺动脉高压是什么病', 'link': 'https://www.mfk.com/article/7635971.shtml', 'source': '民福康'}, {'title': '肺动脉高压这是属于什么病', 'link': 'https://www.bohe.cn/article/view/n9t7vxeovk5c2i8.html', 'source': '博禾医生'}, {'title': '肺动脉高压如何诊断', 'link': 'https://www.bohe.cn/article/view/221232.html', 'source': '王及华'}, {'title': '深度解析:肺动脉高压的诊断标准', 'link': 'https://m.youlai.cn/yyk/hnote/E2910DmMScs.html', 'source': '有来医生'}]","['肺高压一般寿命多少年', '肺高压可以治愈吗', '轻度肺高压5个征兆', '肺高压的10个征兆', '肺高压是什么意思', '肺动脉重度高压能治好吗', '肺动脉高压分级mmhg', '女性肺高压寿命', '轻度肺高压42有事吗', '肺压高吃什么药见效快']"
what is hypertension,高血压是什么,True,"['\u200c确诊流程\u200c：需要在安静状态下，未使用降压药，且非同日进行三次测量，若结果均超标方可确诊 。\u200c\u200c\u200c', '\u200c血压分级\u200c：根据升高程度分为三级，级别越高风险越大 。', '\u200c测量差异\u200c：诊室血压标准通常为≥140/90mmHg，家庭自测血压标准可能更为严格，如≥135/85mmHg 即需警惕 。部分临床指南建议将控制目标设定在 130/80mmHg 以下，具体需遵医嘱 。\u200c\u200c\u200c7百科\u200c', '\u200c疾病分类\u200c：绝大多数为原发性高血压，病因不明；少数为继发性高血压，由肾脏或内分泌疾病引起 。', '\u200c高危因素\u200c：以下人群更易患病，需重点预防 。', '\u200c生活方式干预\u200c：这是治疗的基础，所有患者都应执行 。', '\u200c药物治疗\u200c：若生活方式干预无效或血压较高，需遵医嘱长期服药 。', '\u200c并发症风险\u200c：长期未控制可能导致脑卒中、心肌梗死、心力衰竭、慢性肾病等 。若出现剧烈头痛、视物模糊、胸痛，应立即就医 。\u200c\u200c\u200c']",[],"[{'title': '高血压定义是什么', 'link': 'https://www.bohe.cn/article/view/wwpjt4pckkm2avc.html', 'source': '博禾医生'}, {'title': '什么是高血压定义', 'link': 'https://www.bohe.cn/article/view/6318tvkk3k7xv8q.html', 'source': '博禾医生'}, {'title': '什么叫做高血压', 'link': 'https://www.bohe.cn/article/view/5cp2m7sv1kpd6yd.html', 'source': '博禾医生'}, {'title': '高血压', 'link': 'https://m.youlai.cn/baike/mdisease/app/grSrhFL6XB.html', 'source': '有来医生'}, {'title': '高血压属于什么疾病', 'link': 'https://www.mfk.com/ask/14435610.shtml', 'source': '周国栋'}, {'title': '高血压是什么病', 'link': 'https://www.mfk.com/article/10820904.shtml', 'source': '民福康'}, {'title': '高血压', 'link': 'https://baike.baidu.com/item/高血压/195863', 'source': '百度百科'}, {'title': '高血压定义有哪些', 'link': 'https://www.bohe.cn/article/view/q9ztix3c4k7evoy.html', 'source': '博禾医生'}]","['什么叫血压高', '高血压是什么原因造成的', '高血压怎样才能降下去', '高血压要多吃什么食物', '高血压是怎么引起的', '降压药最好的中药', '关于高血压的知识', '高血压会引起什么病', '高血压160/110危险吗', '高血压吃什么水果和蔬菜降压最快']"
hypertension symptoms,高血压症状,True,"['\u200c头部感觉异常\u200c：', '\u200c心脏与耳朵反应\u200c：', '\u200c其他身体信号\u200c：', '\u200c出现危重信号\u200c：', '\u200c器官受损表现\u200c：', '\u200c无症状也危险\u200c：', '\u200c定期测量是关键\u200c：']",[],"[{'title': '高血压什么症状', 'link': 'https://www.bohe.cn/article/view/wcq9wotp9kqj4ei.html', 'source': '博禾医生'}, {'title': '高血压症状表现有哪些', 'link': 'https://m.youlai.cn/yyk/hnote/A2DC77mFEam.html', 'source': '朱航'}, {'title': '高血压总不好?别再怪药不行!医生说出大实话:这2个“致命误区”不避开,吃再多药也是无用功', 'link': 'https://baijiahao.baidu.com/s?id=1864971386653993697&wfr=spider&for=pc', 'source': '神外钮优生医生'}, {'title': '高血压症状,高血压有哪些症状', 'link': 'https://m.bohe.cn/article/mip/r8e02e0rkkafv7y.html', 'source': '博禾医生'}, {'title': '血压高症状有哪些症状', 'link': 'https://www.bohe.cn/article/view/rmfrs4cjtkyoswu.html', 'source': '博禾医生'}, {'title': '血压高的症状是什么啊', 'link': 'https://www.bohe.cn/article/view/7mg8sscfska2bcm.html', 'source': '博禾医生'}, {'title': '血压高症状有哪些表现', 'link': 'https://www.bohe.cn/article/view/ayo1trye5k4lg8o.html', 'source': '博禾医生'}, {'title': '血压高的表现症状是什么', 'link': 'https://m.youlai.cn/pjingbian/article/48F104gVMt8.html', 'source': '朱航'}, {'title': '高血压的症状是什么样的', 'link': 'https://m.bohe.cn/article/mip/pk93to7j0kq2q4m.html', 'source': '博禾医生'}, {'title': '高血压的症状有哪些', 'link': 'https://m.youlai.cn/tjingbian/article/20105FmsF4O.html', 'source': '折剑青'}]","['高血压怎么调理才能恢复', '高血压的发病原因', '高血压吃什么药好', '高血压160/110危险吗', '怎么判断自己得了高血压', '高血压三吃三不吃', '高血压的治疗方法', '高血压症状的五个信号', '60至70岁血压一览表', '150一95算不算高血压']"
high blood pressure,血压高,True,"['\u200c诊断标准\u200c：非同日 3 次测量，诊室收缩压≥140 或舒张压≥90；家庭自测平均≥135/85 即可确诊 。', '\u200c分级参考\u200c：140-159/90-99 为 1 级，160-179/100-109 为 2 级，≥180/110 为 3 级，数值越高风险越大 。\u200c\u200c1百科\u200c', '\u200c饮食“一减一加”\u200c：减盐（每天<5 克，少吃咸菜），加钾（多吃菠菜、香蕉、土豆）。', '\u200c生活习惯\u200c：每周运动 150 分钟（快走、游泳），保证 7-8 小时睡眠，戒烟限酒，控制体重 。', '\u200c规范用药\u200c：确诊后遵医嘱服药，\u200c不可自行停药或掰开药片\u200c（除非说明书允许），定期监测血压 。\u200c\u200c\u200c\u200c', '\u200c危险数值\u200c：血压≥180/120mmHg，或达到 160/110mmHg 且持续不降 。', '\u200c伴随症状\u200c：出现剧烈头痛、呕吐、胸痛、视物模糊、呼吸困难等，可能是高血压危象，需立即就医 。\u200c\u200c\u200c']","[{'title': 'H型高血压', 'link': 'http://baike.baidu.com/item/H%E5%9E%8B%E9%AB%98%E8%A1%80%E5%8E%8B/1442700', 'source': '百度百科'}]","[{'title': 'H型高血压', 'link': 'http://baike.baidu.com/item/H%E5%9E%8B%E9%AB%98%E8%A1%80%E5%8E%8B/1442700', 'source': '百度百科'}, {'title': '远离无声杀手科学认识高血压', 'link': 'https://m.yunnan.cn/system/2026/05/18/034012190.shtml', 'source': '云南网'}, {'title': '血压160 110危险吗', 'link': 'https://m.bohe.cn/article/mip/8d30sa300kbdd3t.html', 'source': '博禾医生'}, {'title': '【医讲堂】高血压——沉默的杀手', 'link': 'https://mp.weixin.qq.com/s?__biz=MjM5NjQyNTQ3MQ==&mid=2651179368&idx=3&sn=f26fddea8922ba24384d7f1e33f0d110&chksm=bc7d118d2e0207bba603cc9dbc7ecfbe49064af90efc4778bdeb75aedf2a385800e368aa41ed&scene=27', 'source': '天津中医药大学第二附属医院'}, {'title': '警惕高血压年轻化科学降压避开用药误区 ', 'link': 'https://m.gmw.cn/2026-05/18/content_1304460038.htm', 'source': '光明网'}, {'title': '血压高怎么调理才会降', 'link': 'https://www.mfk.com/article/10895731.shtml', 'source': '民福康'}, {'title': '血压高怎么调理才会降', 'link': 'https://www.bohe.cn/article/view/99333.html', 'source': '闫军'}, {'title': '高血压160/110危险吗', 'link': 'https://m.bohe.cn/article/mip/dfqhvyp3xkpxfg5.html', 'source': '博禾医生'}]","['110-170高血压严重吗?', '高血压160/110危险吗', '血压高是怎么回事引起的', '血压高是什么造成的怎么调理', '年轻人150算高血压吗', '血压高吃什么降压药', '血压高怎么降下来', '高血压降不下来是什么原因', '60~70岁血压范围表', '为什么会血压高']"
hypertension treatment,高血压治疗,True,"['\u200c限制钠盐摄入\u200c：每日食盐量应控制在\u200c5 克以内\u200c，减少酱油、咸菜等隐形盐的摄入，同时增加富含钾的食物如香蕉、菠菜等 。', '\u200c控制体重与运动\u200c：将体重指数维持在健康范围，规律进行快走、游泳等有氧运动，每周至少 150 分钟 。', '\u200c戒烟限酒与心理平衡\u200c：彻底戒烟，限制酒精摄入，避免精神紧张和长期熬夜，可通过冥想、听音乐等方式放松 。\u200c\u200c\u200c', '\u200c钙通道阻滞剂（CCB）\u200c：如苯磺酸氨氯地平片、硝苯地平控释片，通过扩张血管降低血压，适用于老年高血压患者 。\u200c\u200c\u200c', '\u200c血管紧张素转换酶抑制剂（ACEI）\u200c：如培哚普利叔丁胺片、马来酸依那普利片，适用于合并糖尿病、肾病或心力衰竭的患者 。\u200c\u200c\u200c', '\u200c血管紧张素Ⅱ受体拮抗剂（ARB）\u200c：如缬沙坦胶囊、氯沙坦钾片，降压效果平稳，副作用相对较小 。\u200c\u200c\u200c', '\u200c利尿剂\u200c：如氢氯噻嗪片、吲达帕胺片，通过排钠利尿减少血容量，适合盐敏感性高血压 。\u200c\u200c\u200c', '\u200cβ受体阻滞剂\u200c：如酒石酸美托洛尔片、富马酸比索洛尔片，可减慢心率，适合合并冠心病、心律失常的患者 。', '\u200c手术与介入治疗\u200c：针对药物难以控制的难治性高血压或继发性高血压（如肾动脉狭窄、嗜铬细胞瘤），可考虑肾动脉交感神经射频消融术或肿瘤切除术 。', '\u200c中医调理\u200c：可作为辅助手段，通过辨证论治使用天麻钩藤饮等方剂，或进行针灸、耳穴压豆等治疗，需在专业中医师指导下进行 。', '\u200c血压监测\u200c：建议家庭自备上臂式电子血压计，每日早晚定时测量并记录，定期到医院评估靶器官损害情况 。\u200c\u200c\u200c']","[{'title': '中国高血压防治指南(2024年修订版)', 'link': 'http://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E9%AB%98%E8%A1%80%E5%8E%8B%E9%98%B2%E6%B2%BB%E6%8C%87%E5%8D%97%282024%E5%B9%B4%E4%BF%AE%E8%AE%A2%E7%89%88%29/67484526', 'source': '百度百科'}]","[{'title': '中国高血压防治指南(2024年修订版)', 'link': 'http://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E9%AB%98%E8%A1%80%E5%8E%8B%E9%98%B2%E6%B2%BB%E6%8C%87%E5%8D%97%282024%E5%B9%B4%E4%BF%AE%E8%AE%A2%E7%89%88%29/67484526', 'source': '百度百科'}, {'title': '高血压怎么治呢', 'link': 'https://m.bohe.cn/article/mip/v9a42o7jsk5wlyd.html', 'source': '博禾医生'}, {'title': '出现高血压应该怎么治', 'link': 'https://www.bohe.cn/article/view/53188.html', 'source': '田洪波'}, {'title': '高血压治疗什么方法好', 'link': 'https://www.bohe.cn/article/view/74fgmn7w4kst48m.html', 'source': '博禾医生'}, {'title': '高血压的治疗办法有啥', 'link': 'https://www.bohe.cn/article/view/22qztn7w7k5127x.html', 'source': '博禾医生'}, {'title': '高血压如何治疗', 'link': 'https://m.youlai.cn/pjingbian/article/598A7CM50h4.html', 'source': '有来医生'}, {'title': '高血压治疗方法有哪些', 'link': 'https://www.bohe.cn/article/view/214vk0chktz43tv.html', 'source': '高云'}, {'title': '高血压可以通过什么方式治疗', 'link': 'https://www.bohe.cn/article/view/pamstts8fk4r20s.html', 'source': '博禾医生'}, {'title': '高血压治疗方法是什么', 'link': 'https://www.bohe.cn/article/view/1nvnmm6yyk6l7m8.html', 'source': '博禾医生'}, {'title': '高血压怎么治啊', 'link': 'https://www.bohe.cn/article/view/48hrqgws0k7g5hk.html', 'source': '博禾医生'}]","['高血压最好的治疗方法是什么', '高血压怎么治疗才能彻底除根', '高血压怎样才能降下去', '降压药最好的中药', '高血压160/110危险吗', '血压高吃什么降压药', '高血压怎么办最有效的方法', '降血压土方', '60至70岁血压一览表', '高血压的预防与治疗']"
intracranial hypertension,颅内高压,True,"['\u200c头痛呕吐\u200c：最常见，头痛常在清晨加重，呕吐多为喷射状，与吃饭无关 。', '\u200c视力模糊\u200c：眼底检查可见视乳头水肿，长期不治可能导致失明 。', '\u200c意识改变\u200c：严重时会出现嗜睡、昏迷，呼吸和脉搏也会变慢 。\u200c\u200c1百科\u200c', '\u200c脑部长东西\u200c：如脑肿瘤、脑出血或血肿占据了空间 。', '\u200c脑组织肿胀\u200c：外伤、感染或缺氧导致脑水肿，体积变大 。', '\u200c循环受阻\u200c：脑脊液循环不通畅，如脑积水，也会让压力升高 。\u200c\u200c\u200c', '\u200c找病因\u200c：肿瘤或血肿通常需要手术切除或清除 。', '\u200c药物降压\u200c：医生常用甘露醇等脱水药快速降低压力 。', '\u200c手术减压\u200c：药物无效时，可能需做去骨瓣减压术来释放空间 。\u200c\u200c\u200c']","[{'title': '颅内高压症', 'link': 'https://baike.baidu.com/item/颅内高压症/2024704', 'source': '百度百科'}]","[{'title': '颅内高压症', 'link': 'https://baike.baidu.com/item/颅内高压症/2024704', 'source': '百度百科'}, {'title': '颅内高压的危害', 'link': 'https://www.bohe.cn/zx/30270.html', 'source': '博禾医生'}, {'title': '颅内压增高综合症', 'link': 'https://baike.baidu.com/item/颅内压增高综合症/2826742', 'source': '百度百科'}, {'title': '颅内高压症状是什么', 'link': 'https://m.bohe.cn/article/mip/4gm9t9ethko5e7a.html', 'source': '博禾医生'}, {'title': '颅内压增高的原因', 'link': 'https://www.youlai.cn/ask/22961CYgqfh.html', 'source': '陈葵'}, {'title': '神外科普 l 颅内压增高 ', 'link': 'https://mp.weixin.qq.com/s?__biz=MzIyNDU2MTI2Mw==&mid=2247495054&idx=1&sn=165ff7304214dff82bbc414ad5ed12c6&chksm=e94fae363f5f3883a422976b16a1b953d8bfc692fc8e6390982d4dd65b879896acb4d8cbe2b2&scene=27', 'source': '微信公众平台'}, {'title': '实用临床危重病学 颅内 增高 脑脊液', 'link': 'http://fake-book.baidu-int.com/url=fake.ebook.baidu-int.com/duxiu/4e683845acf42e288e93359510046375.pdf###sec=52', 'source': '无'}, {'title': '颅内高压怎么治疗', 'link': 'https://www.youlai.cn/ask/551D65YzhOt.html', 'source': '陈葵'}, {'title': '颅内高压综合征是什么', 'link': 'https://www.youlai.cn/ask/326074.html', 'source': '柳羲'}, {'title': '颅内高压', 'link': 'http://www.chealth.org.cn/mon/diseases/article/MA144007751.html', 'source': '中国公众健康网'}, {'title': '保留骨瓣减压术在颅内压升高患者中的应用 ', 'link': 'https://www.medlive.cn/cms.php?ac=show&mdl=info&cat=research&catid=181&contentid=230729', 'source': '医脉通'}]","['颅骨修复手术一般几天可恢复', '颅压高最好的治疗方法', '颅内血压高什么症状', '脑腔隙灶需要治疗吗', '颅内压高怎么能降下去', '颅压高会自己降下来吗', '颅内高压一般三处疼', '脑溢血的前兆是什么现象', '颅内高压是什么引起的', '脑子里长瘤的前期反应']"
stage 2 hypertension,二级高血压,True,"['\u200c数值标准\u200c：根据《中国高血压防治指南》，在未使用降压药的情况下，非同日3次测量，只要收缩压达到160 mmHg或舒张压达到100 mmHg，即可诊断为二级高血压。', '\u200c风险级别\u200c：相比一级高血压（轻度），二级高血压的患者未来发生脑卒中、心肌梗死、心力衰竭和肾功能损害的风险显著增加。', '\u200c与其他分级的区别\u200c：高血压分为一级（轻度）、二级（中度）和三级（重度），二级处于明显的疾病进展期，往往需要更强化的干预。', '\u200c原发性因素\u200c：最常见，与遗传、高盐饮食、长期精神紧张、肥胖、缺乏体力活动、过量饮酒和年龄增长等有关。', '\u200c继发性因素\u200c：部分由肾脏疾病（如肾小球肾炎）、肾动脉狭窄、睡眠呼吸暂停综合征或内分泌疾病（如原发性醛固酮增多症）等引发，尤其多见于年轻或突然出现高血压的患者。', '\u200c混合因素\u200c：很多时候是多种因素共同作用，使血压逐步由轻度升高发展为中度。', '\u200c立即就医评估\u200c：医生会详细询问病史并进行体格检查，可能安排心电图、心脏超声、肾功能、眼底检查等，以评估靶器官是否受损。', '\u200c生活方式干预是基础\u200c：严格限盐（每日不超过6克，约一个啤酒瓶盖的量），采用富含蔬菜、水果、全谷物和低脂乳制品的饮食模式；每周至少进行150分钟中等强度有氧运动；戒烟并限制酒精摄入；管理情绪和保证充足睡眠。', '\u200c药物治疗常不可或缺\u200c：二级高血压多数需要启动降压药治疗，常用药物包括血管紧张素转换酶抑制剂、血管紧张素受体拮抗剂、钙通道阻滞剂和利尿剂等，医生会根据病情选择单药或联合用药。', '\u200c定期监测与随访\u200c：在家自测血压并记录，定期复诊，医生会根据血压控制情况和耐受性调整方案，目标是将血压逐步降至140/90 mmHg以下，若耐受良好可进一步降至130/80 mmHg以下。']",[],[],"['二级高血压什么意思', '二型高血压严重吗', '高血压一二三四级标准', '2级高血压能恢复正常吗', '高血压170严重吗', '三级高血压', '高血压一二三级怎么分低', '血压150/90算不算高血压', '血压高是什么原因引起的', '低压高是什么原因,怎么解决']"
hypertension stage 2,高血压二期,True,"['\u200c诊室血压\u200c：非同日多次测量后，收缩压≥160mmHg或舒张压≥100mmHg；', '\u200c排除其他诱因\u200c：如短期情绪波动、药物影响等；', '\u200c靶器官评估\u200c：需结合心脏、肾脏、眼底等检查，判断是否存在器官损害。', '\u200c原发性高血压\u200c：占90%以上，与遗传、肥胖、高盐饮食、缺乏运动、长期压力等相关；', '\u200c继发性高血压\u200c：可能由肾病（如肾动脉狭窄）、内分泌疾病（如原发性醛固酮增多症）或药物（如激素类药物）引起；', '\u200c年龄与性别\u200c：中老年男性及绝经后女性风险较高。', '\u200c症状不典型\u200c：多数患者无明显症状，少数出现头痛、头晕、耳鸣、视力模糊等；', '\u200c并发症风险\u200c：长期未控制可导致\u200c心衰、脑卒中、肾功能不全、视网膜病变\u200c等；', '\u200c隐匿性进展\u200c：部分患者首次就诊时已出现左心室肥厚或蛋白尿。', '\u200c血压监测\u200c：结合诊室血压、家庭自测血压或24小时动态血压监测；', '\u200c实验室检查\u200c：血常规、尿常规、肾功能、血糖、血脂等；', '\u200c靶器官检查\u200c：心电图、心脏超声、颈动脉超声、眼底检查等。', '\u200c饮食调整\u200c：低盐（每日＜5g）、低脂、高钾（如新鲜蔬果）、控制总热量；', '\u200c规律运动\u200c：每周≥150分钟中等强度有氧运动（如快走、游泳）；', '\u200c戒烟限酒\u200c：戒烟可降低心血管风险，男性每日酒精摄入≤25g，女性≤15g；', '\u200c体重管理\u200c：BMI控制在18.5-23.9，腰围男性＜90cm，女性＜85cm。', '\u200c一线药物\u200c：包括钙通道阻滞剂（CCB）、血管紧张素转化酶抑制剂（ACEI）、血管紧张素受体拮抗剂（ARB）、利尿剂等；', '\u200c联合用药\u200c：若单药控制不佳，需联合2种及以上降压药（如CCB+ARB）；', '\u200c个体化方案\u200c：合并糖尿病、肾病等患者需优先选择特定药物（如ARB/ACEI保护肾脏）。', '\u200c定期随访\u200c：每1-3个月监测血压，每年评估靶器官功能；', '\u200c血压达标值\u200c：一般患者＜140/90mmHg，合并糖尿病或肾病者＜130/80mmHg；', '\u200c心理调节\u200c：通过冥想、心理咨询等方式缓解焦虑，避免血压波动。']",[],[],"['高血压一二三四级标准', '高血压突然降低要警惕什么发生', '原发性好治还是继发性好治', '高血压二级和二期区别', '高血压三吃三不吃', '劳动法规定高血压不能从事的工作', '高血压一二三级分别是多少', '高血压二期什么意思', '高血压是怎么引起的', '150一95算不算高血压']"
anxiety,焦虑,True,"['\u200c正常焦虑\u200c：通常有明确原因，比如考试、面试前紧张，事情过去后\u200c能自行恢复\u200c，不会长期困扰你 。', '\u200c焦虑症\u200c：往往\u200c没有明确诱因\u200c，或者担忧程度与实际情况严重不符，情绪\u200c持续存在且难以控制\u200c，会干扰日常工作、学习和社交 。', '\u200c身体反应\u200c：正常焦虑可能只有轻微心跳加快；焦虑症则常伴随心悸、胸闷、手抖、出汗、失眠等明显的\u200c躯体症状\u200c，甚至出现惊恐发作 。\u200c\u200c\u200c2百科\u200c', '\u200c看症状表现\u200c：', '\u200c看持续时间\u200c：焦虑情绪如果\u200c持续超过 6 个月\u200c，且大部分时间都存在，风险较高 。\u200c\u200c\u200c', '\u200c看影响程度\u200c：如果焦虑让你\u200c无法正常工作、生活\u200c，或者感到极度痛苦，就需要警惕 。\u200c\u200c\u200c', '\u200c专业评估\u200c：可以使用焦虑自评量表（如 GAD-7）自测，但这\u200c仅供参考\u200c，不能替代医生的诊断 。医生会排除甲亢、心脏病等躯体疾病后做出判断 。\u200c\u200c\u200c', '\u200c生活方式调整\u200c：', '\u200c心理调节技巧\u200c：', '\u200c专业治疗干预\u200c：']",[],"[{'title': '焦虑是怎么回事', 'link': 'https://www.youlai.cn/pjingbian/article/6EEA41M54Us.html', 'source': '有来医生'}, {'title': '焦虑症', 'link': 'https://baike.baidu.com/item/焦虑症/1252536', 'source': '百度百科'}, {'title': '焦虑', 'link': 'https://baike.baidu.com/item/焦虑/121526', 'source': '百度百科'}, {'title': '焦虑的意思', 'link': 'https://www.mfk.com/ask/14658892.shtml', 'source': '刘中霖'}, {'title': '怎么判断是不是焦虑症', 'link': 'https://m.youlai.cn/sjingbian/article/705A4AgBVql.html', 'source': '有来医生'}, {'title': '如何判断焦虑症', 'link': 'https://m.youlai.cn/pjingbian/article/2D7BAAgAUmF.html', 'source': '彭祖贵'}, {'title': '怎么判断自己得了焦虑症', 'link': 'https://m.youlai.cn/pjingbian/article/D2D394ghhE0.html', 'source': '刘建成'}, {'title': '焦虑症的表现、症状及诊断标准', 'link': 'https://www.youlai.cn/yyk/article/996810.html', 'source': '蒙华庆'}, {'title': '焦虑症', 'link': 'https://m.bohe.cn/article/mip/68551.html', 'source': '姜默琳'}, {'title': '焦虑是什么意思', 'link': 'https://www.mfk.com/ask/14657579.shtml', 'source': '刘中霖'}]","['焦虑症自测表20道题', '焦虑是什么意思?', '抑郁症自测23道题', '焦虑什么意思解释一下', '焦虑型依恋人格', '打开心结最好方法心理咨询', '如何控制大脑不去胡思乱想', '心理疏导的10个方法', '心理自愈16个技巧', '焦虑症十大症状表现']"
